op,dtype,layout,mem,bcast,accepted,pcc_or_reason,input_range,pcc,ulp
abs,uint32,tile,dram,none,OK,fail,[1..49],,
abs,uint32,tile,height,none,OK,fail,[1..49],,
abs,uint32,tile,l1,none,OK,fail,[1..49],,
abs,uint32,tile,width,none,OK,fail,[1..49],,
abs,uint8,rm,block,none,OK,fail,[1..49],,
abs,uint8,rm,dram,none,OK,fail,[1..49],,
abs,uint8,rm,height,none,OK,fail,[1..49],,
abs,uint8,rm,l1,none,OK,fail,[1..49],,
abs,uint8,rm,width,none,OK,fail,[1..49],,
abs,uint8,tile,block,none,OK,fail,[1..49],,
abs,uint8,tile,dram,none,OK,fail,[1..49],,
abs,uint8,tile,height,none,OK,fail,[1..49],,
abs,uint8,tile,l1,none,OK,fail,[1..49],,
abs,uint8,tile,width,none,OK,fail,[1..49],,
abs_bw,bfloat16,rm,block,none,OK,pass,[0.1..0.85],1.000000,0.000
abs_bw,bfloat16,rm,dram,none,OK,pass,[0.1..0.85],1.000000,0.000
abs_bw,bfloat16,rm,height,none,OK,pass,[0.1..0.85],1.000000,0.000
abs_bw,bfloat16,rm,l1,none,OK,pass,[0.1..0.85],1.000000,0.000
abs_bw,bfloat16,rm,width,none,OK,pass,[0.1..0.85],1.000000,0.000
abs_bw,bfloat16,tile,block,none,OK,pass,[0.1..0.85],1.000000,0.000
abs_bw,bfloat16,tile,dram,none,OK,pass,[0.1..0.85],1.000000,0.000
abs_bw,bfloat16,tile,height,none,OK,pass,[0.1..0.85],1.000000,0.000
abs_bw,bfloat16,tile,l1,none,OK,pass,[0.1..0.85],1.000000,0.000
abs_bw,bfloat16,tile,width,none,OK,pass,[0.1..0.85],1.000000,0.000
abs_bw,bfloat4_b,rm,block,none,FAIL,TT_FATAL @ /project/ttnn/core/tensor/py_to_tt_tensor.cpp:372: layout == Layout::TILE | info: | Layout must be Layout::TILE for bfloat8_b or bfloat4_b!,[0.1..0.85],,
abs_bw,bfloat4_b,rm,dram,none,FAIL,TT_FATAL @ /project/ttnn/core/tensor/py_to_tt_tensor.cpp:372: layout == Layout::TILE | info: | Layout must be Layout::TILE for bfloat8_b or bfloat4_b!,[0.1..0.85],,
abs_bw,bfloat4_b,rm,height,none,FAIL,TT_FATAL @ /project/ttnn/core/tensor/py_to_tt_tensor.cpp:372: layout == Layout::TILE | info: | Layout must be Layout::TILE for bfloat8_b or bfloat4_b!,[0.1..0.85],,
abs_bw,bfloat4_b,rm,l1,none,FAIL,TT_FATAL @ /project/ttnn/core/tensor/py_to_tt_tensor.cpp:372: layout == Layout::TILE | info: | Layout must be Layout::TILE for bfloat8_b or bfloat4_b!,[0.1..0.85],,
abs_bw,bfloat4_b,rm,width,none,FAIL,TT_FATAL @ /project/ttnn/core/tensor/py_to_tt_tensor.cpp:372: layout == Layout::TILE | info: | Layout must be Layout::TILE for bfloat8_b or bfloat4_b!,[0.1..0.85],,
abs_bw,bfloat4_b,tile,block,none,OK,pass,[0.1..0.85],0.986689,
abs_bw,bfloat4_b,tile,dram,none,OK,pass,[0.1..0.85],0.986493,
abs_bw,bfloat4_b,tile,height,none,OK,pass,[0.1..0.85],0.986618,
abs_bw,bfloat4_b,tile,l1,none,OK,pass,[0.1..0.85],0.986688,
abs_bw,bfloat4_b,tile,width,none,OK,pass,[0.1..0.85],0.986981,
abs_bw,bfloat8_b,rm,block,none,FAIL,TT_FATAL @ /project/ttnn/core/tensor/py_to_tt_tensor.cpp:372: layout == Layout::TILE | info: | Layout must be Layout::TILE for bfloat8_b or bfloat4_b!,[0.1..0.85],,
abs_bw,bfloat8_b,rm,dram,none,FAIL,TT_FATAL @ /project/ttnn/core/tensor/py_to_tt_tensor.cpp:372: layout == Layout::TILE | info: | Layout must be Layout::TILE for bfloat8_b or bfloat4_b!,[0.1..0.85],,
abs_bw,bfloat8_b,rm,height,none,FAIL,TT_FATAL @ /project/ttnn/core/tensor/py_to_tt_tensor.cpp:372: layout == Layout::TILE | info: | Layout must be Layout::TILE for bfloat8_b or bfloat4_b!,[0.1..0.85],,
abs_bw,bfloat8_b,rm,l1,none,FAIL,TT_FATAL @ /project/ttnn/core/tensor/py_to_tt_tensor.cpp:372: layout == Layout::TILE | info: | Layout must be Layout::TILE for bfloat8_b or bfloat4_b!,[0.1..0.85],,
abs_bw,bfloat8_b,rm,width,none,FAIL,TT_FATAL @ /project/ttnn/core/tensor/py_to_tt_tensor.cpp:372: layout == Layout::TILE | info: | Layout must be Layout::TILE for bfloat8_b or bfloat4_b!,[0.1..0.85],,
abs_bw,bfloat8_b,tile,block,none,OK,pass,[0.1..0.85],0.999921,8.000
abs_bw,bfloat8_b,tile,dram,none,OK,pass,[0.1..0.85],0.999948,7.000
abs_bw,bfloat8_b,tile,height,none,OK,pass,[0.1..0.85],0.999922,8.000
abs_bw,bfloat8_b,tile,l1,none,OK,pass,[0.1..0.85],0.999946,8.000
abs_bw,bfloat8_b,tile,width,none,OK,pass,[0.1..0.85],0.999927,8.000
abs_bw,float32,rm,block,none,OK,pass,[0.1..0.85],1.000000,0.000
abs_bw,float32,rm,dram,none,OK,pass,[0.1..0.85],1.000000,0.000
abs_bw,float32,rm,height,none,OK,pass,[0.1..0.85],1.000000,0.000
abs_bw,float32,rm,l1,none,OK,pass,[0.1..0.85],1.000000,0.000
abs_bw,float32,rm,width,none,OK,pass,[0.1..0.85],1.000000,0.000
abs_bw,float32,tile,block,none,OK,pass,[0.1..0.85],1.000000,0.000
abs_bw,float32,tile,dram,none,OK,pass,[0.1..0.85],1.000000,0.000
abs_bw,float32,tile,height,none,OK,pass,[0.1..0.85],1.000000,0.000
abs_bw,float32,tile,l1,none,OK,pass,[0.1..0.85],1.000000,0.000
abs_bw,float32,tile,width,none,OK,pass,[0.1..0.85],1.000000,0.000
abs_bw,int32,rm,block,none,OK,fail,[1..49],-0.139605,
abs_bw,int32,rm,dram,none,OK,fail,[1..49],-0.131340,
abs_bw,int32,rm,height,none,OK,fail,[1..49],-0.130700,
abs_bw,int32,rm,l1,none,OK,fail,[1..49],-0.134177,
abs_bw,int32,rm,width,none,OK,fail,[1..49],-0.131821,
abs_bw,int32,tile,block,none,OK,fail,[1..49],-0.165373,
abs_bw,int32,tile,dram,none,OK,fail,[1..49],-0.127026,
abs_bw,int32,tile,height,none,OK,fail,[1..49],-0.100116,
abs_bw,int32,tile,l1,none,OK,fail,[1..49],-0.160773,
abs_bw,int32,tile,width,none,OK,fail,[1..49],-0.138510,
abs_bw,uint16,rm,block,none,OK,fail,[1..49],0.999999,
abs_bw,uint16,rm,dram,none,OK,fail,[1..49],1.000000,
abs_bw,uint16,rm,height,none,OK,fail,[1..49],1.000000,
abs_bw,uint16,rm,l1,none,OK,fail,[1..49],1.000000,
abs_bw,uint16,rm,width,none,OK,fail,[1..49],0.999999,
abs_bw,uint16,tile,block,none,OK,fail,[1..49],1.000000,
abs_bw,uint16,tile,dram,none,OK,fail,[1..49],1.000000,
abs_bw,uint16,tile,height,none,OK,fail,[1..49],1.000000,
abs_bw,uint16,tile,l1,none,OK,fail,[1..49],1.000000,
abs_bw,uint16,tile,width,none,OK,fail,[1..49],1.000000,
abs_bw,uint32,rm,block,none,OK,fail,[1..49],-0.071980,
abs_bw,uint32,rm,dram,none,OK,fail,[1..49],0.001775,
abs_bw,uint32,rm,height,none,OK,fail,[1..49],-0.039039,
abs_bw,uint32,rm,l1,none,OK,fail,[1..49],-0.064057,
abs_bw,uint32,rm,width,none,OK,fail,[1..49],-0.054824,
abs_bw,uint32,tile,block,none,OK,fail,[1..49],-0.086000,
abs_bw,uint32,tile,dram,none,OK,fail,[1..49],-0.022246,
abs_bw,uint32,tile,height,none,OK,fail,[1..49],-0.035933,
abs_bw,uint32,tile,l1,none,OK,fail,[1..49],-0.042415,
abs_bw,uint32,tile,width,none,OK,fail,[1..49],-0.005854,
abs_bw,uint8,rm,block,none,FAIL,"TT_FATAL @ /project/ttnn/cpp/ttnn/operations/data_movement/tilize/device/tilize_device_operation.cpp:140: input_tensor_a.dtype() == DataType::BFLOAT16 or input_tensor_a.dtype() == DataType::FLOAT32 or input_tensor_a.dtype() == DataType::UINT32 or input_tensor_a.dtype() == DataType::INT32 or input_tensor_a.dtype() == DataType::UINT16 or input_tensor_a.dtype() == DataType::FP8_E4M3 | info: | data type must be bfloat16, float32, uint32, int32, uint16, or fp8_e4m3",[1..49],,
abs_bw,uint8,rm,dram,none,FAIL,"TT_FATAL @ /project/ttnn/cpp/ttnn/operations/eltwise/binary_ng/device/binary_ng_device_operation.cpp:287: ttnn::operations::binary::dtype_policy::is_supported(attributes.binary_op_type, input_tensor_a.dtype()) | info: | Input tensor A dtype DataType::UINT8 is not supported for binary operation BinaryOpType::MUL",[1..49],,
abs_bw,uint8,rm,height,none,FAIL,"TT_FATAL @ /project/ttnn/cpp/ttnn/operations/data_movement/tilize/device/tilize_device_operation.cpp:140: input_tensor_a.dtype() == DataType::BFLOAT16 or input_tensor_a.dtype() == DataType::FLOAT32 or input_tensor_a.dtype() == DataType::UINT32 or input_tensor_a.dtype() == DataType::INT32 or input_tensor_a.dtype() == DataType::UINT16 or input_tensor_a.dtype() == DataType::FP8_E4M3 | info: | data type must be bfloat16, float32, uint32, int32, uint16, or fp8_e4m3",[1..49],,
abs_bw,uint8,rm,l1,none,FAIL,"TT_FATAL @ /project/ttnn/cpp/ttnn/operations/eltwise/binary_ng/device/binary_ng_device_operation.cpp:287: ttnn::operations::binary::dtype_policy::is_supported(attributes.binary_op_type, input_tensor_a.dtype()) | info: | Input tensor A dtype DataType::UINT8 is not supported for binary operation BinaryOpType::MUL",[1..49],,
abs_bw,uint8,rm,width,none,FAIL,"TT_FATAL @ /project/ttnn/cpp/ttnn/operations/data_movement/tilize/device/tilize_device_operation.cpp:140: input_tensor_a.dtype() == DataType::BFLOAT16 or input_tensor_a.dtype() == DataType::FLOAT32 or input_tensor_a.dtype() == DataType::UINT32 or input_tensor_a.dtype() == DataType::INT32 or input_tensor_a.dtype() == DataType::UINT16 or input_tensor_a.dtype() == DataType::FP8_E4M3 | info: | data type must be bfloat16, float32, uint32, int32, uint16, or fp8_e4m3",[1..49],,
abs_bw,uint8,tile,block,none,FAIL,"TT_FATAL @ /project/ttnn/cpp/ttnn/operations/eltwise/binary_ng/device/binary_ng_device_operation.cpp:287: ttnn::operations::binary::dtype_policy::is_supported(attributes.binary_op_type, input_tensor_a.dtype()) | info: | Input tensor A dtype DataType::UINT8 is not supported for binary operation BinaryOpType::MUL",[1..49],,
abs_bw,uint8,tile,dram,none,FAIL,"TT_FATAL @ /project/ttnn/cpp/ttnn/operations/eltwise/binary_ng/device/binary_ng_device_operation.cpp:287: ttnn::operations::binary::dtype_policy::is_supported(attributes.binary_op_type, input_tensor_a.dtype()) | info: | Input tensor A dtype DataType::UINT8 is not supported for binary operation BinaryOpType::MUL",[1..49],,
abs_bw,uint8,tile,height,none,FAIL,"TT_FATAL @ /project/ttnn/cpp/ttnn/operations/eltwise/binary_ng/device/binary_ng_device_operation.cpp:287: ttnn::operations::binary::dtype_policy::is_supported(attributes.binary_op_type, input_tensor_a.dtype()) | info: | Input tensor A dtype DataType::UINT8 is not supported for binary operation BinaryOpType::MUL",[1..49],,
abs_bw,uint8,tile,l1,none,FAIL,"TT_FATAL @ /project/ttnn/cpp/ttnn/operations/eltwise/binary_ng/device/binary_ng_device_operation.cpp:287: ttnn::operations::binary::dtype_policy::is_supported(attributes.binary_op_type, input_tensor_a.dtype()) | info: | Input tensor A dtype DataType::UINT8 is not supported for binary operation BinaryOpType::MUL",[1..49],,
abs_bw,uint8,tile,width,none,FAIL,"TT_FATAL @ /project/ttnn/cpp/ttnn/operations/eltwise/binary_ng/device/binary_ng_device_operation.cpp:287: ttnn::operations::binary::dtype_policy::is_supported(attributes.binary_op_type, input_tensor_a.dtype()) | info: | Input tensor A dtype DataType::UINT8 is not supported for binary operation BinaryOpType::MUL",[1..49],,
acos,bfloat16,rm,block,none,OK,pass,[0.1..0.85],0.999973,0.000
acos,bfloat16,rm,dram,none,OK,pass,[0.1..0.85],0.999975,0.000
acos,bfloat16,rm,height,none,OK,pass,[0.1..0.85],0.999972,0.000
acos,bfloat16,rm,l1,none,OK,pass,[0.1..0.85],0.999974,0.000
acos,bfloat16,rm,width,none,OK,pass,[0.1..0.85],0.999972,0.000
acos,bfloat16,tile,block,none,OK,pass,[0.1..0.85],0.999972,0.000
acos,bfloat16,tile,dram,none,OK,pass,[0.1..0.85],0.999972,0.000
acos,bfloat16,tile,height,none,OK,pass,[0.1..0.85],0.999971,0.000
acos,bfloat16,tile,l1,none,OK,pass,[0.1..0.85],0.999973,0.000
acos,bfloat16,tile,width,none,OK,pass,[0.1..0.85],0.999973,0.000
acos,bfloat4_b,rm,block,none,FAIL,TT_FATAL @ /project/ttnn/core/tensor/py_to_tt_tensor.cpp:372: layout == Layout::TILE | info: | Layout must be Layout::TILE for bfloat8_b or bfloat4_b!,[0.1..0.85],,
acos,bfloat4_b,rm,dram,none,FAIL,TT_FATAL @ /project/ttnn/core/tensor/py_to_tt_tensor.cpp:372: layout == Layout::TILE | info: | Layout must be Layout::TILE for bfloat8_b or bfloat4_b!,[0.1..0.85],,
acos,bfloat4_b,rm,height,none,FAIL,TT_FATAL @ /project/ttnn/core/tensor/py_to_tt_tensor.cpp:372: layout == Layout::TILE | info: | Layout must be Layout::TILE for bfloat8_b or bfloat4_b!,[0.1..0.85],,
acos,bfloat4_b,rm,l1,none,FAIL,TT_FATAL @ /project/ttnn/core/tensor/py_to_tt_tensor.cpp:372: layout == Layout::TILE | info: | Layout must be Layout::TILE for bfloat8_b or bfloat4_b!,[0.1..0.85],,
acos,bfloat4_b,rm,width,none,FAIL,TT_FATAL @ /project/ttnn/core/tensor/py_to_tt_tensor.cpp:372: layout == Layout::TILE | info: | Layout must be Layout::TILE for bfloat8_b or bfloat4_b!,[0.1..0.85],,
acos,bfloat4_b,tile,block,none,OK,pass,[0.1..0.85],0.962504,
acos,bfloat4_b,tile,dram,none,OK,pass,[0.1..0.85],0.960158,
acos,bfloat4_b,tile,height,none,OK,pass,[0.1..0.85],0.963316,
acos,bfloat4_b,tile,l1,none,OK,pass,[0.1..0.85],0.958978,
