op,dtype,layout,mem,accepted,pcc_or_reason,input_range,pcc,ulp
abs,bfloat8_b,rm,block,FAIL,TT_FATAL @ /home/ubuntu/tt-metal/ttnn/core/tensor/py_to_tt_tensor.cpp:372: layout == Layout::TILE | info: | Layout must be Layout::TILE for bfloat8_b or bfloat4_b!,[0.1..0.85],,
abs,bfloat4_b,rm,block,FAIL,TT_FATAL @ /home/ubuntu/tt-metal/ttnn/core/tensor/py_to_tt_tensor.cpp:372: layout == Layout::TILE | info: | Layout must be Layout::TILE for bfloat8_b or bfloat4_b!,[0.1..0.85],,
abs,float32,rm,block,OK,pass,[0.1..0.85],1.000000,0.000
abs,int32,rm,block,OK,pass,[1..49],1.000000,
abs,uint32,rm,block,OK,fail,[1..49],,
abs,uint16,rm,block,OK,pass,[1..49],0.999999,
abs,uint8,rm,block,OK,fail,[1..49],,
acos,bfloat16,tile,dram,OK,pass,[0.1..0.85],0.999972,0.000
acos,bfloat8_b,tile,dram,OK,pass,[0.1..0.85],0.999777,5.000
acos,bfloat4_b,tile,dram,OK,pass,[0.1..0.85],0.960158,
acos,float32,tile,dram,OK,pass,[0.1..0.85],1.000000,53.000
acos,int32,tile,dram,OK,fail,[1..49],1.000000,
acos,uint32,tile,dram,OK,fail,[1..49],1.000000,
acos,uint16,tile,dram,OK,fail,[1..49],1.000000,
acos,uint8,tile,dram,OK,fail,[1..49],1.000000,
acos,bfloat16,tile,l1,OK,pass,[0.1..0.85],0.999973,0.000
acos,bfloat8_b,tile,l1,OK,pass,[0.1..0.85],0.999786,5.000
acos,bfloat4_b,tile,l1,OK,pass,[0.1..0.85],0.958978,
acos,float32,tile,l1,OK,pass,[0.1..0.85],1.000000,53.000
acos,int32,tile,l1,OK,fail,[1..49],1.000000,
acos,uint32,tile,l1,OK,fail,[1..49],1.000000,
acos,uint16,tile,l1,OK,fail,[1..49],1.000000,
acos,uint8,tile,l1,OK,fail,[1..49],1.000000,
acos,bfloat16,tile,height,OK,pass,[0.1..0.85],0.999971,0.000
acos,bfloat8_b,tile,height,OK,pass,[0.1..0.85],0.999751,6.000
acos,bfloat4_b,tile,height,OK,pass,[0.1..0.85],0.963316,
acos,float32,tile,height,OK,pass,[0.1..0.85],1.000000,53.000
acos,int32,tile,height,OK,fail,[1..49],1.000000,
acos,uint32,tile,height,OK,fail,[1..49],1.000000,
acos,uint16,tile,height,OK,fail,[1..49],1.000000,
acos,uint8,tile,height,OK,fail,[1..49],1.000000,
acos,bfloat16,tile,width,OK,pass,[0.1..0.85],0.999973,0.000
acos,bfloat8_b,tile,width,OK,pass,[0.1..0.85],0.999746,6.000
acos,bfloat4_b,tile,width,OK,pass,[0.1..0.85],0.961811,
acos,float32,tile,width,OK,pass,[0.1..0.85],1.000000,53.000
acos,int32,tile,width,OK,fail,[1..49],1.000000,
acos,uint32,tile,width,OK,fail,[1..49],1.000000,
acos,uint16,tile,width,OK,fail,[1..49],1.000000,
acos,uint8,tile,width,OK,fail,[1..49],1.000000,
acos,bfloat16,tile,block,OK,pass,[0.1..0.85],0.999972,0.000
acos,bfloat8_b,tile,block,OK,pass,[0.1..0.85],0.999738,5.000
acos,bfloat4_b,tile,block,OK,pass,[0.1..0.85],0.962504,
acos,float32,tile,block,OK,pass,[0.1..0.85],1.000000,53.000
acos,int32,tile,block,OK,fail,[1..49],1.000000,
acos,uint32,tile,block,OK,fail,[1..49],1.000000,
acos,uint16,tile,block,OK,fail,[1..49],1.000000,
acos,uint8,tile,block,OK,fail,[1..49],1.000000,
acos,bfloat16,rm,dram,OK,pass,[0.1..0.85],0.999975,0.000
acos,bfloat8_b,rm,dram,FAIL,TT_FATAL @ /home/ubuntu/tt-metal/ttnn/core/tensor/py_to_tt_tensor.cpp:372: layout == Layout::TILE | info: | Layout must be Layout::TILE for bfloat8_b or bfloat4_b!,[0.1..0.85],,
acos,bfloat4_b,rm,dram,FAIL,TT_FATAL @ /home/ubuntu/tt-metal/ttnn/core/tensor/py_to_tt_tensor.cpp:372: layout == Layout::TILE | info: | Layout must be Layout::TILE for bfloat8_b or bfloat4_b!,[0.1..0.85],,
